Record ID,Title,Type,Language,Subject Classification,System 1,Code,System 2,Code,System 3,Code,Gold,Gold Code
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Sprachinsel | gnd:4233286-2,YYY,Linguistic Landscape | gnd:1212065077,YYY,Deutsch | gnd:4113292-0,YYY,Minderheitensprache | gnd:4132313-0,TP
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Deutsch | gnd:4113292-0,III,Mehrsprachigkeit | gnd:4038403-2,III,Soziolinguistik | gnd:4077623-2,III,Deutsch | gnd:4113292-0,TP
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Minderheitensprache | gnd:4132313-0,YYY,Deutsch | gnd:4113292-0,YYY,Minderheitensprache | gnd:4132313-0,YYY,Mehrsprachigkeit | gnd:4038403-2,TP
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Sprachliche Minderheit | gnd:4131504-2,YYY,Sprachliche Minderheit | gnd:4131504-2,YYY,Sprachliche Minderheit | gnd:4131504-2,YYY,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Soziolinguistik | gnd:4077623-2,YYY,Sprachgebrauch | gnd:4191506-9,YYY,Mehrsprachigkeit | gnd:4038403-2,YYY,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Mehrsprachigkeit | gnd:4038403-2,III,,III,Sprache | gnd:4056449-6,III,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Sprache | gnd:4056449-6,III,,III,Sprachpolitik | gnd:4077732-7,III,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Politik | gnd:4046514-7,N,,N,Germanistik | gnd:4020383-9,N,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Sprachgebrauch | gnd:4191506-9,NNN,,NNN,Sprachgebrauch | gnd:4191506-9,NNN,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Gesellschaft | gnd:4020588-5,NNN,,NNN,Minderheit | gnd:4752223-9,NNN,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Diskursanalyse | gnd:4194747-2,III,,III,Linguistik | gnd:4074250-7,III,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Nationalbewusstsein | gnd:4041282-9,III,,III,Sprachkontakt | gnd:4077723-6,III,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Kulturelle Identität | gnd:4033542-2,N,,N,Sprachinsel | gnd:4233286-2,N,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Linguistik | gnd:4074250-7,N,,N,Grenzgebiet | gnd:4021993-8,N,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Standardsprache | gnd:4077831-9,III,,III,Sprachverbreitung | gnd:4182539-1,III,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Sprachnorm | gnd:4056483-6,NNN,,NNN,Fremdsprache | gnd:4018424-9,NNN,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Konstruktivismus Soziologie | gnd:4442526-0,NNN,,NNN,Sprachkompetenz | gnd:4077722-4,NNN,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Regionalsprache | gnd:4419922-3,N,,N,Landeskunde | gnd:4073972-7,N,,
3A1645658597,Handbuch des Deutschen in West- und Mitteleuropa : Sprachminderheiten und Mehrsprachigkeitskonstellationen,Book,de,(classificationName=linsearch:mapping)lin,Sprachbewusstsein | gnd:4056448-4,YYY,,YYY,Deutsche | gnd:4070334-4,YYY,,
