Record ID,Title,Type,Language,Subject Classification,System 1,Code,System 2,Code,System 3,Code,Gold,Train Freq,Gold Code
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Literatur | gnd:4035964-5,YYY,Literatur | gnd:4035964-5,YYY,Literatur | gnd:4035964-5,YYY,Judenvernichtung (Motiv) | gnd:4122228-3,16,TP
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Judenvernichtung Motiv | gnd:4122228-3,NNN,Judenvernichtung | gnd:4073091-8,NNN,Rezeption | gnd:4049716-1,NNN,Judenvernichtung | gnd:4073091-8,158,TP
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Nationalsozialismus Motiv | gnd:4115345-5,YYY,Kriegsliteratur | gnd:4165683-0,YYY,Judenvernichtung | gnd:4073091-8,YYY,Literatur | gnd:4035964-5,1169,TP
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Deutsch | gnd:4113292-0,YYY,International Day of Commemoration to honour the victims of the Holocaust | gnd:7610472-2,YYY,Judenvernichtung Motiv | gnd:4122228-3,YYY,Deutsch | gnd:4113292-0,766,FNM5
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Überleben Motiv | gnd:4212507-8,III,Israelforschung | gnd:1215271336,III,Schriftsteller | gnd:4053309-8,III,Erinnerung | gnd:4015272-8,57,FNM5
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Französisch | gnd:4113615-9,YYY,,YYY,Deutsch | gnd:4113292-0,YYY,Erinnerung (Motiv) | gnd:4193441-6,9,FNM5
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Judenverfolgung | gnd:4028814-6,III,,III,Juden | gnd:4028808-0,III,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Drittes Reich | gnd:4013021-6,NNN,,NNN,Literarisches Werk | gnd:4195456-7,NNN,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Judenvernichtung | gnd:4073091-8,III,,III,Völkermord | gnd:4063690-2,III,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Topografie | gnd:4133697-5,NNN,,NNN,Überlebender | gnd:4136796-0,NNN,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Alltag | gnd:4001307-8,N,,N,Übersetzung | gnd:4061418-9,N,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Juden | gnd:4028808-0,N,,N,Gedächtnis | gnd:4019614-8,N,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Kultur | gnd:4125698-0,N,,N,Jüdische Literatur | gnd:4332690-0,N,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Nichtjude | gnd:4670965-4,N,,N,Autor | gnd:4003982-1,N,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Judentum Motiv | gnd:4193640-1,N,,N,Film | gnd:4017102-4,N,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Identität Motiv | gnd:4311101-4,N,,N,Geschichte | gnd:4020517-4,N,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Nationalsozialismus | gnd:4041316-0,N,,N,Ästhetik | gnd:4000626-8,N,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Besetzung | gnd:4006020-2,N,,N,Dedikation | gnd:4148981-0,N,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Zweiter Weltkrieg | gnd:4079167-1,I,,I,Judenverfolgung | gnd:4028814-6,I,,,
3A1690415053,"""Über diesem Abgrund"" : Studien zur Literatur der Shoah",Book,de,(classificationName=linsearch:mapping)lit,Widerstand | gnd:4079262-6,III,,III,Kollektives Gedächtnis | gnd:4200793-8,III,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Lokalisation | gnd:4195351-4,III,Tragödie | gnd:4060591-7,III,Rezeption | gnd:4049716-1,III,Griechisch | gnd:4113791-7,39,TP
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Antike | gnd:4068754-5,YYY,Satyrspiel | gnd:4179175-7,YYY,Griechisch | gnd:4113791-7,YYY,Satyrspiel | gnd:4179175-7,0,TP
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Rezeption | gnd:4049716-1,YYY,,YYY,Tragödie | gnd:4060591-7,YYY,Tragödie | gnd:4060591-7,13,TP
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Epos | gnd:4015065-3,YYY,,YYY,Satyrspiel | gnd:4179175-7,YYY,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Schriftsteller | gnd:4053309-8,YYY,,YYY,Antike | gnd:4068754-5,YYY,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Mythologie | gnd:4041005-5,NNN,,NNN,Epos | gnd:4015065-3,NNN,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Rhetorik | gnd:4076704-8,N,,N,Charakterisierung | gnd:4069926-2,N,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Homeranalyse | gnd:4160551-2,N,,N,Altertumswissenschaft | gnd:4134281-1,N,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Literatur | gnd:4035964-5,YYY,,YYY,Latein | gnd:4114364-4,YYY,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Trojanischer Krieg | gnd:4060976-5,III,,III,Literatur | gnd:4035964-5,III,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Mythos | gnd:4075159-4,III,,III,Satyr | gnd:4179174-5,III,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Politik | gnd:4046514-7,N,,N,Sagengestalt | gnd:4221861-5,N,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Griechisch | gnd:4113791-7,N,,N,Drama | gnd:4012899-4,N,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Epyllion | gnd:4221324-1,N,,N,Charakter Motiv | gnd:4220901-8,N,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Roman | gnd:4050479-7,N,,N,Epyllion | gnd:4221324-1,N,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Latein | gnd:4114364-4,I,,I,Tanz | gnd:4059028-8,I,,,
3A1736439154,"Studien zu Homer, zur Tragödie und zum Satyrspiel",Book,de,(classificationName=linsearch:mapping)lit,Frau Motiv | gnd:4113617-2,N,,N,Mythos Motiv | gnd:4202767-6,N,,,
