Record ID,Title,Type,Language,Subject Classification,System 1,Code,System 2,Code,System 3,Code,Gold,Gold Code
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Digitalisierung | gnd:4123065-6,Y,Preispolitik | gnd:4047118-4,Y,Künstliche Intelligenz | gnd:4033447-8,Y,Digitalisierung | gnd:4123065-6,TP
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Projektmanagement | gnd:4047441-0,Y,Künstliche Intelligenz | gnd:4033447-8,Y,Digitalisierung | gnd:4123065-6,Y,Preispolitik | gnd:4047118-4,TP
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Wirtschaftsinformatik | gnd:4112736-5,Y,Digitalisierung | gnd:4123065-6,Y,Preispolitik | gnd:4047118-4,Y,,
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Geschäftsmodell | gnd:7737985-8,Y,,Y,Marketing | gnd:4037589-4,Y,,
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Electronic Commerce | gnd:4592128-3,I,,I,Optimierung | gnd:4043664-0,I,,
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Controlling | gnd:4070102-5,I,,I,Software | gnd:4055382-6,I,,
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Künstliche Intelligenz | gnd:4033447-8,Y,,Y,Preis | gnd:4047097-0,Y,,
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Soziologische Theorie | gnd:4077628-1,I,,I,Entscheidungsunterstützungssystem | gnd:4191815-0,I,,
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Management | gnd:4037278-9,I,,I,Einzelhandel | gnd:4127747-8,I,,
3A1741577772,Preispolitik im digitalen Zeitalter : Auswirkungen von Digitalisierung und künstlicher Intelligenz,Book,de,(classificationName=linsearch:mapping)oek,Online-Marketing | gnd:7706419-7,N,,N,Preismodell | gnd:4175626-5,N,,
