SubjectID,SubjectName,TrainCount,DevCount,TestCount,TotalCount,PresentInSplits
gnd:4035964-5,Literatur,1169,171,520,1860,3
gnd:4002851-3,Architektur,1187,274,147,1608,3
gnd:4061963-1,Unternehmen,991,189,338,1518,3
gnd:4326464-5,Nachhaltigkeit,983,232,223,1438,3
gnd:4113292-0,Deutsch,766,144,401,1311,3
gnd:4123065-6,Digitalisierung,686,175,93,954,3
gnd:4030550-8,Kind,576,113,235,924,3
gnd:4014777-0,Englisch,561,79,229,869,3
gnd:4125698-0,Kultur,535,103,222,860,3
gnd:4046514-7,Politik,538,104,196,838,3
gnd:4045791-6,Philosophie,504,107,225,836,3
gnd:4037278-9,Management,515,113,181,809,3
gnd:4020588-5,Gesellschaft,520,117,151,788,3
gnd:4557997-0,Globalisierung,488,106,190,784,3
gnd:4056754-0,Stadtplanung,519,140,44,703,3
gnd:4028859-6,Jugend,438,79,173,690,3
gnd:4049716-1,Rezeption,448,67,169,684,3
gnd:4077624-4,Soziologie,427,81,164,672,3
gnd:4056995-0,Statistik,481,119,71,671,3
gnd:4033447-8,Künstliche Intelligenz,474,140,55,669,3
gnd:4018202-2,Frau,403,86,176,665,3
gnd:4193754-5,Maschinelles Lernen,483,113,61,657,3
gnd:4124261-0,Strategisches Management,411,75,159,645,3
gnd:4027743-4,Islam,400,75,152,627,3
gnd:4066493-4,Wirtschaftspolitik,393,66,154,613,3
gnd:4037944-9,Mathematik,456,96,58,610,3
gnd:4011413-2,Demokratie,408,61,137,606,3
gnd:4049396-9,Religion,385,64,152,601,3
gnd:4066438-7,Wirtschaftsentwicklung,342,70,158,570,3
gnd:4031883-7,Kommunikation,366,68,130,564,3
gnd:4308416-3,Internet,403,103,57,563,3
gnd:4056730-8,Stadtentwicklung,413,95,49,557,3
gnd:4066399-1,Wirtschaft,362,77,116,555,3
gnd:4164199-1,Klimaänderung,397,111,46,554,3
gnd:4048737-4,Recht,346,56,144,546,3
gnd:4037589-4,Marketing,318,64,112,494,3
gnd:4018776-7,Führung,289,61,140,490,3
gnd:4120509-1,Internationaler Vergleich,338,96,49,483,3
gnd:4123037-1,Datenanalyse,336,80,65,481,3
gnd:4114333-4,Kunst,290,73,116,479,3
gnd:4053474-1,Schule,290,66,113,469,3
gnd:4015602-3,Ethik,301,55,111,467,3
gnd:4196910-8,Neue Medien,313,66,80,459,3
gnd:4055676-1,Sozialarbeit,278,55,120,453,3
gnd:4045956-1,Physik,331,74,45,450,3
gnd:4017102-4,Film,265,51,132,448,3
gnd:4077587-2,Sozialer Wandel,271,62,114,447,3
gnd:4059787-8,Theorie,295,48,103,446,3
gnd:4068097-6,Zukunft,327,78,41,446,3
gnd:4120730-0,Migration,274,64,105,443,3
gnd:4056723-0,Stadt,339,67,37,443,3
gnd:4026926-7,Informationstechnik,306,98,35,439,3
gnd:4072560-1,Hochschule,275,61,99,435,3
gnd:4041316-0,Nationalsozialismus,268,37,119,424,3
gnd:4274324-2,Computersicherheit,295,83,43,421,3
gnd:4161817-8,Innovationsmanagement,264,55,100,419,3
gnd:4047704-6,Psychologie,254,48,117,419,3
gnd:4428654-5,Data Mining,274,62,68,404,3
gnd:4047441-0,Projektmanagement,270,53,72,395,3
gnd:4114528-8,Mathematisches Modell,274,80,39,393,3
gnd:4020517-4,Geschichte,244,50,98,392,3
gnd:4001307-8,Alltag,262,46,80,388,3
gnd:4003846-4,Außenpolitik,238,37,112,387,3
gnd:4038971-6,Methode,275,72,34,381,3
gnd:4200793-8,Kollektives Gedächtnis,242,39,94,375,3
gnd:4148259-1,Computersimulation,263,64,45,372,3
gnd:4031031-0,Klein- und Mittelbetrieb,239,49,83,371,3
gnd:4055736-4,Soziale Ungleichheit,227,48,95,370,3
