LabelNorm,RawLabelExample,NumCodes,Codes,RolesPerCode,PrefCount,AltCount
"abwasseranalyse,kennzahl","Abwasseranalyse,Kennzahl",7,gnd:4145594-0; gnd:4147637-2; gnd:4185748-3; gnd:4360165-0; gnd:4381803-1; gnd:4586442-1; gnd:4586443-3,gnd:4145594-0:alt; gnd:4147637-2:alt; gnd:4185748-3:alt; gnd:4360165-0:alt; gnd:4381803-1:alt; gnd:4586442-1:alt; gnd:4586443-3:alt,0,7
"gymnasium,oberstufe","Gymnasium,Oberstufe",7,gnd:4114394-2; gnd:4158386-3; gnd:4172293-0; gnd:4172295-4; gnd:4207121-5; gnd:4452739-1; gnd:7500408-2,gnd:4114394-2:alt; gnd:4158386-3:alt; gnd:4172293-0:alt; gnd:4172295-4:alt; gnd:4207121-5:alt; gnd:4452739-1:alt; gnd:7500408-2:alt,0,7
"china,nord","China,Nord",5,gnd:4090401-5; gnd:4099597-5; gnd:4288615-6; gnd:4289366-5; gnd:4315445-1,gnd:4090401-5:alt; gnd:4099597-5:alt; gnd:4288615-6:alt; gnd:4289366-5:alt; gnd:4315445-1:alt,0,5
"französisch,literatur","Französisch,Literatur",5,gnd:1296573346; gnd:1309095248; gnd:1309745579; gnd:1311517642; gnd:4175686-1,gnd:1296573346:alt; gnd:1309095248:alt; gnd:1309745579:alt; gnd:1311517642:alt; gnd:4175686-1:alt,0,5
sam,SAM,5,gnd:1170447619; gnd:4141409-3; gnd:4141779-3; gnd:4253357-0; gnd:4345856-7,gnd:1170447619:alt; gnd:4141409-3:alt; gnd:4141779-3:alt; gnd:4253357-0:alt; gnd:4345856-7:alt,0,5
"spss,windows,programm","SPSS,WINDOWS,Programm",5,gnd:4334316-8; gnd:4445911-7; gnd:4479990-1; gnd:4521067-6; gnd:4568719-5,gnd:4334316-8:alt; gnd:4445911-7:alt; gnd:4479990-1:alt; gnd:4521067-6:alt; gnd:4568719-5:alt,0,5
bar,Bar,4,gnd:4056679-1; gnd:4198747-0; gnd:4315375-6; gnd:4392006-8,gnd:4056679-1:alt; gnd:4198747-0:pref; gnd:4315375-6:alt; gnd:4392006-8:alt,1,3
bassa,Bassa,4,gnd:4225817-0; gnd:4612383-0; gnd:7549089-4; gnd:7576616-4,gnd:4225817-0:alt; gnd:4612383-0:alt; gnd:7549089-4:alt; gnd:7576616-4:pref,1,3
ccm,CCM,4,gnd:4292240-9; gnd:4293887-9; gnd:4617298-1; gnd:4814317-0,gnd:4292240-9:alt; gnd:4293887-9:alt; gnd:4617298-1:alt; gnd:4814317-0:alt,0,4
check point firewall-1,Check Point FireWall-1,4,gnd:4648279-9; gnd:4664906-2; gnd:4664907-4; gnd:4726331-3,gnd:4648279-9:alt; gnd:4664906-2:alt; gnd:4664907-4:alt; gnd:4726331-3:alt,0,4
checkpoint firewall-1,Checkpoint FireWall-1,4,gnd:4648279-9; gnd:4664906-2; gnd:4664907-4; gnd:4726331-3,gnd:4648279-9:alt; gnd:4664906-2:alt; gnd:4664907-4:alt; gnd:4726331-3:alt,0,4
"china,süd","China,Süd",4,gnd:4284763-1; gnd:4288643-0; gnd:4289230-2; gnd:4803990-1,gnd:4284763-1:alt; gnd:4288643-0:alt; gnd:4289230-2:alt; gnd:4803990-1:alt,0,4
ci,CI,4,gnd:4127103-8; gnd:4193565-2; gnd:4241849-5; gnd:4337897-3,gnd:4127103-8:alt; gnd:4193565-2:alt; gnd:4241849-5:pref; gnd:4337897-3:alt,1,3
cip,CIP,4,gnd:1054107130; gnd:4147383-8; gnd:4197312-4; gnd:7709478-5,gnd:1054107130:alt; gnd:4147383-8:alt; gnd:4197312-4:alt; gnd:7709478-5:alt,0,4
co,co,4,gnd:4164521-2; gnd:4197145-0; gnd:4330489-8; gnd:7594570-8,gnd:4164521-2:alt; gnd:4197145-0:alt; gnd:4330489-8:pref; gnd:7594570-8:alt,1,3
"deutsch,literatur","Deutsch,Literatur",4,gnd:1309743541; gnd:4201421-9; gnd:7503824-9; gnd:7507945-8,gnd:1309743541:alt; gnd:4201421-9:alt; gnd:7503824-9:alt; gnd:7507945-8:alt,0,4
ec 2.7.10.1,EC 2.7.10.1,4,gnd:1068488255; gnd:1075662729; gnd:4342440-5; gnd:4629445-4,gnd:1068488255:alt; gnd:1075662729:alt; gnd:4342440-5:alt; gnd:4629445-4:alt,0,4
lo,Lo,4,gnd:1281854549; gnd:1318449030; gnd:4471058-6; gnd:4677243-1,gnd:1281854549:alt; gnd:1318449030:alt; gnd:4471058-6:pref; gnd:4677243-1:pref,2,2
mcp,MCP,4,gnd:4155541-7; gnd:4315827-4; gnd:4527933-0; gnd:4808920-5,gnd:4155541-7:alt; gnd:4315827-4:alt; gnd:4527933-0:alt; gnd:4808920-5:pref,1,3
mediaeval,Mediaeval,4,gnd:7645690-0; gnd:7645749-7; gnd:7647476-8; gnd:7657325-4,gnd:7645690-0:alt; gnd:7645749-7:alt; gnd:7647476-8:alt; gnd:7657325-4:alt,0,4
mic,MIC,4,gnd:4161931-6; gnd:4232095-1; gnd:4327907-7; gnd:4379491-9,gnd:4161931-6:alt; gnd:4232095-1:alt; gnd:4327907-7:alt; gnd:4379491-9:alt,0,4
pah,PAH,4,gnd:4175141-3; gnd:4176331-2; gnd:4310110-0; gnd:4631445-3,gnd:4175141-3:alt; gnd:4176331-2:alt; gnd:4310110-0:alt; gnd:4631445-3:alt,0,4
pas,pas,4,gnd:1148982752; gnd:4076095-9; gnd:4310098-3; gnd:4533191-1,gnd:1148982752:pref; gnd:4076095-9:alt; gnd:4310098-3:alt; gnd:4533191-1:alt,1,3
"planet,astrologie","Planet,Astrologie",4,gnd:4233937-6; gnd:4612253-9; gnd:4719633-6; gnd:4755867-2,gnd:4233937-6:alt; gnd:4612253-9:alt; gnd:4719633-6:alt; gnd:4755867-2:alt,0,4
ppo,PPO,4,gnd:4175276-4; gnd:4224257-5; gnd:4334111-1; gnd:4497509-0,gnd:4175276-4:alt; gnd:4224257-5:alt; gnd:4334111-1:alt; gnd:4497509-0:alt,0,4
psa,PSA,4,gnd:4322949-9; gnd:4385529-5; gnd:4423008-4; gnd:7533131-7,gnd:4322949-9:alt; gnd:4385529-5:alt; gnd:4423008-4:alt; gnd:7533131-7:alt,0,4
"spanisch,literatur","Spanisch,Literatur",4,gnd:1309740119; gnd:4181251-7; gnd:7506628-2; gnd:7507757-7,gnd:1309740119:alt; gnd:4181251-7:alt; gnd:7506628-2:alt; gnd:7507757-7:alt,0,4
aes,AES,3,gnd:1052974120; gnd:4122843-1; gnd:4205777-2,gnd:1052974120:alt; gnd:4122843-1:alt; gnd:4205777-2:alt,0,3
ag,AG,3,gnd:4000937-3; gnd:4614719-6; gnd:7778722-5,gnd:4000937-3:alt; gnd:4614719-6:pref; gnd:7778722-5:alt,1,2
ami,Ami,3,gnd:1044041919; gnd:4104192-6; gnd:4141779-3,gnd:1044041919:alt; gnd:4104192-6:pref; gnd:4141779-3:alt,1,2
apd,APD,3,gnd:4212018-4; gnd:4242256-5; gnd:4273783-7,gnd:4212018-4:alt; gnd:4242256-5:alt; gnd:4273783-7:alt,0,3
bede,Bede,3,gnd:1204656738; gnd:4144253-2; gnd:7688936-1,gnd:1204656738:alt; gnd:4144253-2:pref; gnd:7688936-1:alt,1,2
"bedingungslose kapitulation deutschlands,jubiläum,1945","Bedingungslose Kapitulation Deutschlands,Jubiläum,1945",3,gnd:4403033-2; gnd:4792224-2; gnd:4792225-4,gnd:4403033-2:alt; gnd:4792224-2:alt; gnd:4792225-4:alt,0,3
bms,BMS,3,gnd:4144868-6; gnd:4653266-3; gnd:7708207-2,gnd:4144868-6:alt; gnd:4653266-3:alt; gnd:7708207-2:alt,0,3
bo,Bo,3,gnd:4454619-1; gnd:4716320-3; gnd:4719967-2,gnd:4454619-1:alt; gnd:4716320-3:alt; gnd:4719967-2:alt,0,3
brauwesen,Brauwesen,3,gnd:4069637-6; gnd:4122920-4; gnd:4146518-0,gnd:4069637-6:alt; gnd:4122920-4:alt; gnd:4146518-0:alt,0,3
"busa,volk","Busa,Volk",3,gnd:4225340-8; gnd:4466881-8; gnd:4770787-2,gnd:4225340-8:alt; gnd:4466881-8:alt; gnd:4770787-2:alt,0,3
cl,cl,3,gnd:4030938-1; gnd:4191732-7; gnd:4689476-7,gnd:4030938-1:alt; gnd:4191732-7:alt; gnd:4689476-7:pref,1,2
cms,CMS,3,gnd:4259065-6; gnd:4539831-8; gnd:4774276-8,gnd:4259065-6:pref; gnd:4539831-8:alt; gnd:4774276-8:alt,1,2
crt,CRT,3,gnd:1205510435; gnd:4470755-1; gnd:7621868-5,gnd:1205510435:alt; gnd:4470755-1:alt; gnd:7621868-5:alt,0,3
csf,CSF,3,gnd:4125641-4; gnd:4197034-2; gnd:4202929-6,gnd:4125641-4:alt; gnd:4197034-2:alt; gnd:4202929-6:alt,0,3
css,CSS,3,gnd:1249405939; gnd:4302465-8; gnd:4467617-7,gnd:1249405939:alt; gnd:4302465-8:alt; gnd:4467617-7:alt,0,3
dai,Dai,3,gnd:1338838644; gnd:4281805-9; gnd:7695569-2,gnd:1338838644:pref; gnd:4281805-9:alt; gnd:7695569-2:alt,1,2
dampflokomotive baureihe s 3/6,Dampflokomotive Baureihe S 3/6,3,gnd:4480057-5; gnd:4480058-7; gnd:4480059-9,gnd:4480057-5:alt; gnd:4480058-7:alt; gnd:4480059-9:alt,0,3
dampflokomotive bayerische s 3/6,Dampflokomotive Bayerische S 3/6,3,gnd:4480057-5; gnd:4480058-7; gnd:4480059-9,gnd:4480057-5:alt; gnd:4480058-7:alt; gnd:4480059-9:alt,0,3
dang,Dang,3,gnd:4284288-8; gnd:4343134-3; gnd:7747781-9,gnd:4284288-8:alt; gnd:4343134-3:alt; gnd:7747781-9:alt,0,3
dbase-pascal-connection,dBASE-PASCAL-Connection,3,gnd:4309748-0; gnd:4334368-5; gnd:4651278-0,gnd:4309748-0:alt; gnd:4334368-5:alt; gnd:4651278-0:alt,0,3
dcg,DCG,3,gnd:4268954-5; gnd:4456879-4; gnd:4694485-0,gnd:4268954-5:alt; gnd:4456879-4:alt; gnd:4694485-0:alt,0,3
dea,DEA,3,gnd:1144984653; gnd:4394478-4; gnd:4573838-5,gnd:1144984653:alt; gnd:4394478-4:alt; gnd:4573838-5:alt,0,3
dnp,DNP,3,gnd:1175052361; gnd:4150002-7; gnd:4479189-6,gnd:1175052361:alt; gnd:4150002-7:alt; gnd:4479189-6:alt,0,3
dp,DP,3,gnd:4140484-1; gnd:4320177-5; gnd:4320178-7,gnd:4140484-1:alt; gnd:4320177-5:alt; gnd:4320178-7:alt,0,3
"drei-d-studio,windows 95","Drei-D-Studio,Windows 95",3,gnd:4450243-6; gnd:4500956-9; gnd:4528234-1,gnd:4450243-6:alt; gnd:4500956-9:alt; gnd:4528234-1:alt,0,3
ek,EK,3,gnd:4253325-9; gnd:4274932-3; gnd:4448474-4,gnd:4253325-9:pref; gnd:4274932-3:alt; gnd:4448474-4:alt,1,2
epr,EPR,3,gnd:4132116-9; gnd:4221454-3; gnd:7644686-4,gnd:4132116-9:alt; gnd:4221454-3:alt; gnd:7644686-4:alt,0,3
esp,ESP,3,gnd:4003869-5; gnd:4664088-5; gnd:7852835-5,gnd:4003869-5:alt; gnd:4664088-5:alt; gnd:7852835-5:alt,0,3
et,et,3,gnd:1157176518; gnd:4124864-8; gnd:4723160-9,gnd:1157176518:alt; gnd:4124864-8:pref; gnd:4723160-9:alt,1,2
fachinformationssystem,Fachinformationssystem,3,gnd:4026901-2; gnd:4027869-4; gnd:4072806-7,gnd:4026901-2:alt; gnd:4027869-4:alt; gnd:4072806-7:alt,0,3
"freelance graphics,windows,programm","Freelance Graphics,WINDOWS,Programm",3,gnd:4280471-1; gnd:4321798-9; gnd:4362773-0,gnd:4280471-1:alt; gnd:4321798-9:alt; gnd:4362773-0:alt,0,3
g,g,3,gnd:1328155471; gnd:4124933-1; gnd:4469955-4,gnd:1328155471:alt; gnd:4124933-1:alt; gnd:4469955-4:pref,1,2
h,h,3,gnd:4188979-4; gnd:4315696-4; gnd:4799320-0,gnd:4188979-4:alt; gnd:4315696-4:pref; gnd:4799320-0:alt,1,2
ic,ic,3,gnd:4027242-4; gnd:4161986-9; gnd:4552469-5,gnd:4027242-4:alt; gnd:4161986-9:alt; gnd:4552469-5:pref,1,2
ipe,IPE,3,gnd:1029373140; gnd:1232850519; gnd:4233759-8,gnd:1029373140:alt; gnd:1232850519:alt; gnd:4233759-8:alt,0,3
"japaner,usa","Japaner,USA",3,gnd:4304965-5; gnd:4357605-9; gnd:4495661-7,gnd:4304965-5:alt; gnd:4357605-9:alt; gnd:4495661-7:alt,0,3
java development kit,Java Development Kit,3,gnd:4483647-8; gnd:4541758-1; gnd:4564513-9,gnd:4483647-8:alt; gnd:4541758-1:alt; gnd:4564513-9:alt,0,3
java intelligent network infrastructure,Java intelligent network infrastructure,3,gnd:4574301-0; gnd:4574304-6; gnd:4578949-6,gnd:4574301-0:alt; gnd:4574304-6:alt; gnd:4578949-6:alt,0,3
jca,JCA,3,gnd:4606077-7; gnd:4650524-6; gnd:4776927-0,gnd:4606077-7:alt; gnd:4650524-6:alt; gnd:4776927-0:pref,1,2
ki,Ki,3,gnd:1155729285; gnd:4147653-0; gnd:4285221-3,gnd:1155729285:alt; gnd:4147653-0:alt; gnd:4285221-3:pref,1,2
"kind,behinderung","Kind,Behinderung",3,gnd:4077513-6; gnd:4113643-3; gnd:4204783-3,gnd:4077513-6:alt; gnd:4113643-3:alt; gnd:4204783-3:alt,0,3
kuchbandhia,Kuchbandhia,3,gnd:1115005049; gnd:1250274168; gnd:7544714-9,gnd:1115005049:alt; gnd:1250274168:alt; gnd:7544714-9:alt,0,3
kwong,Kwong,3,gnd:4220233-4; gnd:4790777-0; gnd:4809606-4,gnd:4220233-4:alt; gnd:4790777-0:alt; gnd:4809606-4:alt,0,3
"lehramt,vorbereitungsdienst","Lehramt,Vorbereitungsdienst",3,gnd:4145015-2; gnd:4167195-8; gnd:4167205-7,gnd:4145015-2:alt; gnd:4167195-8:alt; gnd:4167205-7:alt,0,3
llc,LLC,3,gnd:4168147-2; gnd:4188060-2; gnd:7593437-1,gnd:4168147-2:alt; gnd:4188060-2:alt; gnd:7593437-1:alt,0,3
lur,Lur,3,gnd:4227241-5; gnd:4250731-5; gnd:4773753-0,gnd:4227241-5:alt; gnd:4250731-5:alt; gnd:4773753-0:alt,0,3
mandekan,Mandekan,3,gnd:4120249-1; gnd:4168716-4; gnd:4295594-4,gnd:4120249-1:alt; gnd:4168716-4:alt; gnd:4295594-4:alt,0,3
mandingo,Mandingo,3,gnd:4100053-5; gnd:4295594-4; gnd:4468119-7,gnd:4100053-5:alt; gnd:4295594-4:alt; gnd:4468119-7:alt,0,3
mbo,MBO,3,gnd:4215208-2; gnd:4359192-9; gnd:7540615-9,gnd:4215208-2:alt; gnd:4359192-9:pref; gnd:7540615-9:alt,1,2
memorial book,Memorial book,3,gnd:1199664596; gnd:4382454-7; gnd:4732356-5,gnd:1199664596:alt; gnd:4382454-7:alt; gnd:4732356-5:alt,0,3
monotype-breitkopf-fraktur,Monotype-Breitkopf-Fraktur,3,gnd:7646012-5; gnd:7646014-9; gnd:7646064-2,gnd:7646012-5:alt; gnd:7646014-9:alt; gnd:7646064-2:alt,0,3
mps,MPS,3,gnd:1175168327; gnd:4170190-2; gnd:4301911-0,gnd:1175168327:alt; gnd:4170190-2:alt; gnd:4301911-0:alt,0,3
mts,MTS,3,gnd:1052974120; gnd:4578151-5; gnd:4631824-0,gnd:1052974120:alt; gnd:4578151-5:alt; gnd:4631824-0:alt,0,3
mvele,Mvele,3,gnd:1077774710; gnd:4225340-8; gnd:4225817-0,gnd:1077774710:alt; gnd:4225340-8:alt; gnd:4225817-0:alt,0,3
nar,NAR,3,gnd:1050752112; gnd:4141778-1; gnd:4526646-3,gnd:1050752112:alt; gnd:4141778-1:alt; gnd:4526646-3:alt,0,3
naudem,Naudem,3,gnd:4219994-3; gnd:4262116-1; gnd:4262117-3,gnd:4219994-3:alt; gnd:4262116-1:alt; gnd:4262117-3:alt,0,3
"niederländisch,literatur","Niederländisch,Literatur",3,gnd:1309735506; gnd:1309735883; gnd:1309736952,gnd:1309735506:alt; gnd:1309735883:alt; gnd:1309736952:alt,0,3
nor,Nor,3,gnd:4042479-0; gnd:4172139-1; gnd:4849321-1,gnd:4042479-0:alt; gnd:4172139-1:alt; gnd:4849321-1:alt,0,3
oct,OCT,3,gnd:4398421-6; gnd:7577156-1; gnd:7727641-3,gnd:4398421-6:alt; gnd:7577156-1:alt; gnd:7727641-3:alt,0,3
opg,OPG,3,gnd:1050755219; gnd:4423008-4; gnd:7697714-6,gnd:1050755219:alt; gnd:4423008-4:alt; gnd:7697714-6:alt,0,3
opt,OPT,3,gnd:1050755219; gnd:4328953-8; gnd:4423008-4,gnd:1050755219:alt; gnd:4328953-8:alt; gnd:4423008-4:alt,0,3
pcc,PCC,3,gnd:1284518914; gnd:4174319-2; gnd:4554395-1,gnd:1284518914:alt; gnd:4174319-2:alt; gnd:4554395-1:alt,0,3
pcp,PCP,3,gnd:4076708-5; gnd:4123922-2; gnd:4833713-4,gnd:4076708-5:alt; gnd:4123922-2:alt; gnd:4833713-4:alt,0,3
pendeln,Pendeln,3,gnd:4122311-1; gnd:4129710-6; gnd:4173653-9,gnd:4122311-1:alt; gnd:4129710-6:alt; gnd:4173653-9:alt,0,3
pentekoste,Pentekoste,3,gnd:4133866-2; gnd:4174040-3; gnd:4368795-7,gnd:4133866-2:alt; gnd:4174040-3:alt; gnd:4368795-7:alt,0,3
"perm,übergangszeit","Perm,Übergangszeit",3,gnd:4123925-8; gnd:4343704-7; gnd:4607470-3,gnd:4123925-8:alt; gnd:4343704-7:alt; gnd:4607470-3:alt,0,3
pet,PET,3,gnd:1043910298; gnd:4129799-4; gnd:4133597-1,gnd:1043910298:alt; gnd:4129799-4:alt; gnd:4133597-1:alt,0,3
pev,PEV,3,gnd:1313251569; gnd:4620631-0; gnd:7613978-5,gnd:1313251569:alt; gnd:4620631-0:alt; gnd:7613978-5:alt,0,3
pgm,PGM,3,gnd:4174871-2; gnd:4606156-3; gnd:7576753-3,gnd:4174871-2:alt; gnd:4606156-3:alt; gnd:7576753-3:alt,0,3
pla,PLA,3,gnd:4076369-9; gnd:4335724-6; gnd:4336075-0,gnd:4076369-9:alt; gnd:4335724-6:alt; gnd:4336075-0:alt,0,3
pos,POS,3,gnd:4046865-3; gnd:4132426-2; gnd:4203516-8,gnd:4046865-3:alt; gnd:4132426-2:alt; gnd:4203516-8:alt,0,3
prt,PRT,3,gnd:1061163636; gnd:4177358-5; gnd:4406099-3,gnd:1061163636:alt; gnd:4177358-5:alt; gnd:4406099-3:alt,0,3
pspice für windows,PSPICE für WINDOWS,3,gnd:4343905-6; gnd:4358683-1; gnd:4524689-0,gnd:4343905-6:alt; gnd:4358683-1:alt; gnd:4524689-0:alt,0,3
rfa,RFA,3,gnd:1292271450; gnd:4135992-6; gnd:4726736-7,gnd:1292271450:alt; gnd:4135992-6:alt; gnd:4726736-7:alt,0,3
ris,RIS,3,gnd:4174508-5; gnd:4195704-0; gnd:4261642-6,gnd:4174508-5:alt; gnd:4195704-0:alt; gnd:4261642-6:alt,0,3
sem,Sem,3,gnd:4124024-8; gnd:7596991-9; gnd:7674870-4,gnd:4124024-8:alt; gnd:7596991-9:alt; gnd:7674870-4:alt,0,3
spc,SPC,3,gnd:4116559-7; gnd:4249675-5; gnd:7671837-2,gnd:4116559-7:alt; gnd:4249675-5:alt; gnd:7671837-2:alt,0,3
spe,SPE,3,gnd:4138570-6; gnd:4333602-4; gnd:4998311-8,gnd:4138570-6:pref; gnd:4333602-4:alt; gnd:4998311-8:alt,1,2
sup,SUP,3,gnd:4125275-5; gnd:7753563-7; gnd:7753813-4,gnd:4125275-5:alt; gnd:7753563-7:alt; gnd:7753813-4:alt,0,3
"taurus,lokomotive","Taurus,Lokomotive",3,gnd:4632487-2; gnd:4730219-7; gnd:4730225-2,gnd:4632487-2:alt; gnd:4730219-7:alt; gnd:4730225-2:alt,0,3
tem,Tem,3,gnd:4119917-0; gnd:4123096-6; gnd:4215608-7,gnd:4119917-0:pref; gnd:4123096-6:alt; gnd:4215608-7:alt,1,2
thf,THF,3,gnd:4299316-7; gnd:4385769-3; gnd:4819812-2,gnd:4299316-7:alt; gnd:4385769-3:alt; gnd:4819812-2:alt,0,3
tie,tie,3,gnd:1361631627; gnd:4185375-1; gnd:4248502-2,gnd:1361631627:alt; gnd:4185375-1:alt; gnd:4248502-2:pref,1,2
tma,TMA,3,gnd:1022982281; gnd:1268867829; gnd:4186150-4,gnd:1022982281:alt; gnd:1268867829:alt; gnd:4186150-4:alt,0,3
tp,TP,3,gnd:1050863852; gnd:4060993-5; gnd:4207908-1,gnd:1050863852:alt; gnd:4060993-5:alt; gnd:4207908-1:pref,1,2
tpa,TPA,3,gnd:4201283-1; gnd:4291339-1; gnd:4296951-7,gnd:4201283-1:alt; gnd:4291339-1:alt; gnd:4296951-7:alt,0,3
tu,Tu,3,gnd:4061130-9; gnd:4249968-9; gnd:4249969-0,gnd:4061130-9:alt; gnd:4249968-9:alt; gnd:4249969-0:alt,0,3
uta,Uta,3,gnd:4217881-2; gnd:4318681-6; gnd:4667462-7,gnd:4217881-2:alt; gnd:4318681-6:alt; gnd:4667462-7:alt,0,3
vc,Vc,3,gnd:4063584-3; gnd:4187376-2; gnd:4188331-7,gnd:4063584-3:alt; gnd:4187376-2:alt; gnd:4188331-7:alt,0,3
win,Win,3,gnd:1153926008; gnd:4381869-9; gnd:4724417-3,gnd:1153926008:alt; gnd:4381869-9:alt; gnd:4724417-3:pref,1,2
yam,yam,3,gnd:1142195996; gnd:1162069252; gnd:4162700-3,gnd:1142195996:alt; gnd:1162069252:pref; gnd:4162700-3:alt,1,2
z39.50,Z39.50,3,gnd:4373290-2; gnd:4754083-7; gnd:4819261-2,gnd:4373290-2:alt; gnd:4754083-7:alt; gnd:4819261-2:alt,0,3
