LabelNorm,RawLabelExample,NumCodes,Codes,RolesPerCode,PrefCount,AltCount
alakaluf,Alakaluf,2,gnd:1071000497; gnd:4001008-9,gnd:1071000497:pref; gnd:4001008-9:pref,2,0
anarchafeminismus,Anarchafeminismus,2,gnd:1324101571; gnd:137453496X,gnd:1324101571:pref; gnd:137453496X:pref,2,0
apokatastasis,Apokatastasis,2,gnd:1148979506; gnd:4001309-1,gnd:1148979506:pref; gnd:4001309-1:pref,2,0
arkona schiff,Arkona Schiff,2,gnd:1138060968; gnd:4452101-7,gnd:1138060968:pref; gnd:4452101-7:pref,2,0
athanasia,athanasia,2,gnd:1148979670; gnd:4284671-7,gnd:1148979670:pref; gnd:4284671-7:pref,2,0
av,av,2,gnd:1162073195; gnd:1162073489,gnd:1162073195:pref; gnd:1162073489:pref,2,0
basileia,Basileia,2,gnd:1148979778; gnd:4314647-8,gnd:1148979778:pref; gnd:4314647-8:pref,2,0
be,be,2,gnd:1162067756; gnd:4202480-8,gnd:1162067756:pref; gnd:4202480-8:pref,2,0
canon eos-1 v,Canon EOS-1 v,2,gnd:4594837-9; gnd:4819345-8,gnd:4594837-9:pref; gnd:4819345-8:pref,2,0
derwisch motiv,Derwisch Motiv,2,gnd:1352960303; gnd:4399821-5,gnd:1352960303:pref; gnd:4399821-5:pref,2,0
ed,ed,2,gnd:1162073551; gnd:4651335-8,gnd:1162073551:pref; gnd:4651335-8:pref,2,0
europäischer binnenmarkt,Europäischer Binnenmarkt,2,gnd:7505272-6; gnd:7506563-0,gnd:7505272-6:pref; gnd:7506563-0:pref,2,0
feder-grotesk,Feder-Grotesk,2,gnd:1298143454; gnd:7645942-1,gnd:1298143454:pref; gnd:7645942-1:pref,2,0
gat,gat,2,gnd:1162068337; gnd:1326330195,gnd:1162068337:pref; gnd:1326330195:pref,2,0
hooge motiv,Hooge Motiv,2,gnd:124784210X; gnd:4731532-5,gnd:124784210X:pref; gnd:4731532-5:pref,2,0
hōs,hōs,2,gnd:114898108X; gnd:4651328-0,gnd:114898108X:pref; gnd:4651328-0:pref,2,0
ipad air,iPad Air,2,gnd:1046442198; gnd:1065014074,gnd:1046442198:pref; gnd:1065014074:pref,2,0
jolika collection of new guinea art,Jolika Collection of New Guinea Art,2,gnd:7530786-8; gnd:7531435-6,gnd:7530786-8:pref; gnd:7531435-6:pref,2,0
kaf,kaf,2,gnd:1162067195; gnd:1162069562,gnd:1162067195:pref; gnd:1162069562:pref,2,0
kai wort,kai Wort,2,gnd:1148981411; gnd:4163011-7,gnd:1148981411:pref; gnd:4163011-7:pref,2,0
keks,KEKS,2,gnd:1077632037; gnd:4279603-9,gnd:1077632037:pref; gnd:4279603-9:pref,2,0
koinōnein,koinōnein,2,gnd:1148981683; gnd:4737216-3,gnd:1148981683:pref; gnd:4737216-3:pref,2,0
kol,kol,2,gnd:1141710285; gnd:116206966X,gnd:1141710285:pref; gnd:116206966X:pref,2,0
kongobild,Kongobild,2,gnd:4380758-6; gnd:4750286-1,gnd:4380758-6:pref; gnd:4750286-1:pref,2,0
krt,krt,2,gnd:1162069708; gnd:1358908168,gnd:1162069708:pref; gnd:1358908168:pref,2,0
ksh,ksh,2,gnd:1162069716; gnd:1358411190,gnd:1162069716:pref; gnd:1358411190:pref,2,0
kyrios,Kyrios,2,gnd:1148981845; gnd:4288610-7,gnd:1148981845:pref; gnd:4288610-7:pref,2,0
le,le,2,gnd:1162069767; gnd:4451183-8,gnd:1162069767:pref; gnd:4451183-8:pref,2,0
lo,lo,2,gnd:4471058-6; gnd:4677243-1,gnd:4471058-6:pref; gnd:4677243-1:pref,2,0
magen,magen,2,gnd:1162069864; gnd:4036943-2,gnd:1162069864:pref; gnd:4036943-2:pref,2,0
mare,mare,2,gnd:1162067209; gnd:4371662-3,gnd:1162067209:pref; gnd:4371662-3:pref,2,0
massaker von grugliasco und collegno,Massaker von Grugliasco und Collegno,2,gnd:4706777-9; gnd:4706778-0,gnd:4706777-9:pref; gnd:4706778-0:pref,2,0
matador marke,Matador Marke,2,gnd:1126273341; gnd:4826919-0,gnd:1126273341:pref; gnd:4826919-0:pref,2,0
mshl,mshl,2,gnd:116206997X; gnd:1162070315,gnd:116206997X:pref; gnd:1162070315:pref,2,0
na,na,2,gnd:1162070439; gnd:4248865-5,gnd:1162070439:pref; gnd:4248865-5:pref,2,0
nakhi-sprache,Nakhi-Sprache,2,gnd:1338841424; gnd:4140472-5,gnd:1338841424:pref; gnd:4140472-5:pref,2,0
naringenin,Naringenin,2,gnd:1049719778; gnd:7566445-8,gnd:1049719778:pref; gnd:7566445-8:pref,2,0
nuristani,Nuristani,2,gnd:1359571132; gnd:4029203-4,gnd:1359571132:pref; gnd:4029203-4:pref,2,0
nzr,nzr,2,gnd:116207082X; gnd:1358652589,gnd:116207082X:pref; gnd:1358652589:pref,2,0
offenbacher schwabacher,Offenbacher Schwabacher,2,gnd:1336140607; gnd:7647301-6,gnd:1336140607:pref; gnd:7647301-6:pref,2,0
ot,ot,2,gnd:1162073691; gnd:4126550-6,gnd:1162073691:pref; gnd:4126550-6:pref,2,0
pesel,pesel,2,gnd:1162070854; gnd:4485386-5,gnd:1162070854:pref; gnd:4485386-5:pref,2,0
professor albrecht penck schiff,Professor Albrecht Penck Schiff,2,gnd:1112583130; gnd:4825121-5,gnd:1112583130:pref; gnd:4825121-5:pref,2,0
