LabelNorm,RawLabelExample,SubjectID,TrainCount,DevCount,TestCount,TotalCount
'ilm (islamische philosophie),'ilm (Islamische Philosophie),gnd:4694457-6,1,0,0,1
1-wire,1-Wire,gnd:7716770-3,1,0,0,1
3 d bioprinting,3 D bioprinting,gnd:1237928176,1,0,1,2
360-grad-feedback,360-Grad-Feedback,gnd:4641716-3,1,0,2,3
3d-druck,3D-Druck,gnd:1032223197,48,11,4,63
3d-drucker,3D-Drucker,gnd:1051019354,6,0,0,6
3d-grafik-software,3D-Grafik-Software,gnd:4605743-2,3,2,0,5
3d-scanner,3D-Scanner,gnd:7704418-6,1,1,0,2
3d-sensor,3D-Sensor,gnd:1121142877,2,0,0,2
3d-technologie,3D-Technologie,gnd:1124023283,2,0,1,3
3ds max 2012,3ds MAX 2012,gnd:7845559-5,0,1,0,1
3ds max 2014,3ds MAX 2014,gnd:1052596363,1,0,0,1
4-4-2-system,4-4-2-System,gnd:4724523-2,1,0,0,1
5g,5G,gnd:1188755676,34,10,4,48
a+-zertifikat,A+-Zertifikat,gnd:4656690-9,3,0,0,3
a-posteriori-abschätzung,A-posteriori-Abschätzung,gnd:4346907-3,1,0,0,1
a-posteriori-wahrscheinlichkeit,A-posteriori-Wahrscheinlichkeit,gnd:4273821-0,1,0,0,1
a-priori-verteilung,A-priori-Verteilung,gnd:4525912-4,0,2,0,2
aal-technik,AAL-Technik,gnd:7693422-6,19,3,3,25
ab-initio-rechnung,Ab-initio-Rechnung,gnd:4141062-2,10,3,3,16
abamectin,Abamectin,gnd:4219803-3,1,0,0,1
abap,ABAP,gnd:4610511-6,6,2,2,10
abap 7.4,ABAP 7.4,gnd:1041886934,2,0,0,2
abap core data services,ABAP Core Data Services,gnd:1178857867,0,1,0,1
abap objects,ABAP Objects,gnd:4610505-0,4,0,0,4
abap/4,ABAP/4,gnd:4414686-3,2,0,1,3
abaqus,ABAQUS,gnd:7658716-2,1,1,0,2
abbau,Abbau,gnd:4128488-4,4,1,2,7
abbaubarer kunststoff,Abbaubarer Kunststoff,gnd:4305214-9,1,0,0,1
abbaubarkeit,Abbaubarkeit,gnd:4313172-4,1,2,0,3
abbauplanung,Abbauplanung,gnd:4371141-8,0,1,0,1
abbauprodukt,Abbauprodukt,gnd:4426159-7,2,0,0,2
abbaureaktion,Abbaureaktion,gnd:4136352-8,4,1,0,5
abbiegespur,Abbiegespur,gnd:4590541-1,2,0,0,2
abbildung (mathematik),Abbildung (Mathematik),gnd:4000044-8,8,0,0,8
abbildung (physik),Abbildung (Physik),gnd:4140973-5,2,1,0,3
abbildungsfehler,Abbildungsfehler,gnd:4132894-2,7,2,1,10
abbildungsgeometrie,Abbildungsgeometrie,gnd:4140974-7,1,0,0,1
abbildungsgrad,Abbildungsgrad,gnd:4140975-9,1,0,0,1
abbremsen,Abbremsen,gnd:4349630-1,2,0,1,3
abbruch,Abbruch,gnd:4130693-4,5,1,0,6
abc-schutz,ABC-Schutz,gnd:4000054-0,1,0,0,1
abc-transporter,ABC-Transporter,gnd:4472594-2,0,1,0,1
abc-waffen,ABC-Waffen,gnd:4000056-4,3,1,0,4
abdankung,Abdankung,gnd:4140949-8,1,0,0,1
abdichtung,Abdichtung,gnd:4000065-5,15,1,2,18
abdichtungsstoff,Abdichtungsstoff,gnd:4000066-7,7,0,0,7
abdrift (pflanzenbau),Abdrift (Pflanzenbau),gnd:4278467-0,1,0,0,1
abduktion (logik),Abduktion (Logik),gnd:4120817-1,2,1,2,5
abel-preis,Abel-Preis,gnd:1050252888,1,0,0,1
abelsche gruppe,Abelsche Gruppe,gnd:4140988-7,0,1,1,2
abelsche integralgleichung,Abelsche Integralgleichung,gnd:4140990-5,1,0,0,1
abelsche kategorie,Abelsche Kategorie,gnd:4140991-7,1,0,0,1
abelsche mannigfaltigkeit,Abelsche Mannigfaltigkeit,gnd:4140992-9,6,3,0,9
abelsches gruppenschema,Abelsches Gruppenschema,gnd:4140999-1,1,0,0,1
abendkleid,Abendkleid,gnd:4221285-6,0,0,1,1
abendländischer lebensbaum,Abendländischer Lebensbaum,gnd:4141007-5,1,0,0,1
abendländisches schisma,Abendländisches Schisma,gnd:4141008-7,0,1,0,1
abendmahl,Abendmahl,gnd:4000081-3,0,0,3,3
