LabelNorm,RawLabelExample,NumDistinctIDs,TotalCount,Entropy_bits,NormalizedEntropy,HHI,DominantID,DominantCount,DominantShare
literatur,Literatur,1,1860,-0.0,0.0,1.0,gnd:4035964-5,1860,1.0
architektur,Architektur,1,1608,-0.0,0.0,1.0,gnd:4002851-3,1608,1.0
unternehmen,Unternehmen,1,1518,-0.0,0.0,1.0,gnd:4061963-1,1518,1.0
nachhaltigkeit,Nachhaltigkeit,1,1438,-0.0,0.0,1.0,gnd:4326464-5,1438,1.0
deutsch,Deutsch,1,1311,-0.0,0.0,1.0,gnd:4113292-0,1311,1.0
digitalisierung,Digitalisierung,1,954,-0.0,0.0,1.0,gnd:4123065-6,954,1.0
kind,Kind,1,924,-0.0,0.0,1.0,gnd:4030550-8,924,1.0
englisch,Englisch,1,869,-0.0,0.0,1.0,gnd:4014777-0,869,1.0
kultur,Kultur,1,860,-0.0,0.0,1.0,gnd:4125698-0,860,1.0
politik,Politik,1,838,-0.0,0.0,1.0,gnd:4046514-7,838,1.0
philosophie,Philosophie,1,836,-0.0,0.0,1.0,gnd:4045791-6,836,1.0
management,Management,1,809,-0.0,0.0,1.0,gnd:4037278-9,809,1.0
gesellschaft,Gesellschaft,1,788,-0.0,0.0,1.0,gnd:4020588-5,788,1.0
globalisierung,Globalisierung,1,784,-0.0,0.0,1.0,gnd:4557997-0,784,1.0
stadtplanung,Stadtplanung,1,703,-0.0,0.0,1.0,gnd:4056754-0,703,1.0
jugend,Jugend,1,690,-0.0,0.0,1.0,gnd:4028859-6,690,1.0
rezeption,Rezeption,1,684,-0.0,0.0,1.0,gnd:4049716-1,684,1.0
soziologie,Soziologie,1,672,-0.0,0.0,1.0,gnd:4077624-4,672,1.0
statistik,Statistik,1,671,-0.0,0.0,1.0,gnd:4056995-0,671,1.0
künstliche intelligenz,Künstliche Intelligenz,1,669,-0.0,0.0,1.0,gnd:4033447-8,669,1.0
frau,Frau,1,665,-0.0,0.0,1.0,gnd:4018202-2,665,1.0
maschinelles lernen,Maschinelles Lernen,1,657,-0.0,0.0,1.0,gnd:4193754-5,657,1.0
strategisches management,Strategisches Management,1,645,-0.0,0.0,1.0,gnd:4124261-0,645,1.0
islam,Islam,1,627,-0.0,0.0,1.0,gnd:4027743-4,627,1.0
wirtschaftspolitik,Wirtschaftspolitik,1,613,-0.0,0.0,1.0,gnd:4066493-4,613,1.0
mathematik,Mathematik,1,610,-0.0,0.0,1.0,gnd:4037944-9,610,1.0
demokratie,Demokratie,1,606,-0.0,0.0,1.0,gnd:4011413-2,606,1.0
religion,Religion,1,601,-0.0,0.0,1.0,gnd:4049396-9,601,1.0
wirtschaftsentwicklung,Wirtschaftsentwicklung,1,570,-0.0,0.0,1.0,gnd:4066438-7,570,1.0
kommunikation,Kommunikation,1,564,-0.0,0.0,1.0,gnd:4031883-7,564,1.0
internet,Internet,1,563,-0.0,0.0,1.0,gnd:4308416-3,563,1.0
stadtentwicklung,Stadtentwicklung,1,557,-0.0,0.0,1.0,gnd:4056730-8,557,1.0
wirtschaft,Wirtschaft,1,555,-0.0,0.0,1.0,gnd:4066399-1,555,1.0
klimaänderung,Klimaänderung,1,554,-0.0,0.0,1.0,gnd:4164199-1,554,1.0
recht,Recht,1,546,-0.0,0.0,1.0,gnd:4048737-4,546,1.0
marketing,Marketing,1,494,-0.0,0.0,1.0,gnd:4037589-4,494,1.0
führung,Führung,1,490,-0.0,0.0,1.0,gnd:4018776-7,490,1.0
internationaler vergleich,Internationaler Vergleich,1,483,-0.0,0.0,1.0,gnd:4120509-1,483,1.0
datenanalyse,Datenanalyse,1,481,-0.0,0.0,1.0,gnd:4123037-1,481,1.0
kunst,Kunst,1,479,-0.0,0.0,1.0,gnd:4114333-4,479,1.0
schule,Schule,1,469,-0.0,0.0,1.0,gnd:4053474-1,469,1.0
ethik,Ethik,1,467,-0.0,0.0,1.0,gnd:4015602-3,467,1.0
neue medien,Neue Medien,1,459,-0.0,0.0,1.0,gnd:4196910-8,459,1.0
sozialarbeit,Sozialarbeit,1,453,-0.0,0.0,1.0,gnd:4055676-1,453,1.0
physik,Physik,1,450,-0.0,0.0,1.0,gnd:4045956-1,450,1.0
film,Film,1,448,-0.0,0.0,1.0,gnd:4017102-4,448,1.0
sozialer wandel,Sozialer Wandel,1,447,-0.0,0.0,1.0,gnd:4077587-2,447,1.0
theorie,Theorie,1,446,-0.0,0.0,1.0,gnd:4059787-8,446,1.0
zukunft,Zukunft,1,446,-0.0,0.0,1.0,gnd:4068097-6,446,1.0
migration,Migration,1,443,-0.0,0.0,1.0,gnd:4120730-0,443,1.0
stadt,Stadt,1,443,-0.0,0.0,1.0,gnd:4056723-0,443,1.0
informationstechnik,Informationstechnik,1,439,-0.0,0.0,1.0,gnd:4026926-7,439,1.0
hochschule,Hochschule,1,435,-0.0,0.0,1.0,gnd:4072560-1,435,1.0
nationalsozialismus,Nationalsozialismus,1,424,-0.0,0.0,1.0,gnd:4041316-0,424,1.0
computersicherheit,Computersicherheit,1,421,-0.0,0.0,1.0,gnd:4274324-2,421,1.0
