Split,Type,Lang,Min,Max,Mean,MaxFile
train,Article,en,1,4,1.4,3A729973565.jsonld
train,Article,de,1,2,1.6,3A1666713376.jsonld
train,Book,en,1,6,1.4,3A1797735489.jsonld
train,Book,de,1,6,1.5,3A1610659090.jsonld
train,Conference,en,1,4,1.3,3A1622220692.jsonld
train,Conference,de,1,5,1.4,3A1004888732.jsonld
train,Report,en,1,6,1.5,3A776662627.jsonld
train,Report,de,1,5,1.5,3A614689783.jsonld
train,Thesis,en,1,6,1.4,3A59762772X.jsonld
train,Thesis,de,1,6,1.4,3A1645684016.jsonld
dev,Article,en,1,4,1.4,3A729992411.jsonld
dev,Article,de,1,3,2,3A175995943X.jsonld
dev,Book,en,1,5,1.4,3A1018478469.jsonld
dev,Book,de,1,5,1.5,3A1655001426.jsonld
dev,Conference,en,1,4,1.3,3A1657562093.jsonld
dev,Conference,de,1,5,1.5,3A1648537006.jsonld
dev,Report,en,1,4,1.5,3A629401268.jsonld
dev,Report,de,1,4,1.5,3A1610761588.jsonld
dev,Thesis,en,1,7,1.4,3A1884947085.jsonld
dev,Thesis,de,1,4,1.4,3A1016743343.jsonld
test,Article,en,1,4,1.5,3A729992470.jsonld
test,Article,de,2,2,2,3A1859498507.jsonld
test,Book,en,1,5,1.4,3A1611611555.jsonld
test,Book,de,1,7,1.5,3A1650003722.jsonld
test,Conference,en,1,5,1.4,3A1651737754.jsonld
test,Conference,de,1,5,1.5,3A1742003737.jsonld
test,Report,en,1,4,1.5,3A522784674.jsonld
test,Report,de,1,4,1.5,3A38610638X.jsonld
test,Thesis,en,1,3,1.3,3A1009335952.jsonld
test,Thesis,de,1,6,1.4,3A866031774.jsonld
