Split,Type,Lang,Count,Total Record
train,Article,en,1103,90452
train,Article,de,7,90452
train,Book,en,30545,90452
train,Book,de,35899,90452
train,Conference,en,4237,90452
train,Conference,de,2339,90452
train,Report,en,1463,90452
train,Report,de,1653,90452
train,Thesis,en,3985,90452
train,Thesis,de,9221,90452
dev,Article,en,212,19949
dev,Article,de,2,19949
dev,Book,en,7143,19949
dev,Book,de,7466,19949
dev,Conference,en,1015,19949
dev,Conference,de,484,19949
dev,Report,en,348,19949
dev,Report,de,372,19949
dev,Thesis,en,954,19949
dev,Thesis,de,1953,19949
test,Article,en,423,26168
test,Article,de,1,26168
test,Book,en,7189,26168
test,Book,de,12339,26168
test,Conference,en,780,26168
test,Conference,de,870,26168
test,Report,en,320,26168
test,Report,de,484,26168
test,Thesis,en,825,26168
test,Thesis,de,2937,26168
